Sample_number,Bulk_Hole_No,From (m),To (m),Sample_Thickness (m),Lump (%), Fines (%),L/F Ratio,Dry Weight Lump (kg),Dry Weight Fines (kg),Moisture (%),Fe,SiO2,Al2O3,TiO2,MnO,CaO,P,S ,MgO,K2O,Na2O,LOI371,LOI650,LOI1000,LOITotal,Fe_Lump,SiO2_Lump,Al2O3_Lump,TiO2_Lump,MnO_Lump,CaO_Lump,P_Lump,S _Lump,MgO_Lump,K2O_Lump,Na2O_Lump,LOI371_Lump,LOI650_Lump,LOI1000_Lump,LOITotal_Lump,Fe_Head,SiO2_Head,Al2O3_Head,TiO2_Head,MnO_Head,CaO_Head,P_Head,S _Head,MgO_Head,K2O_Head,Na2O_Head,LOI371_Head,LOI650_Head,LOI1000_Head,LOITotal_Head
30138,CBS02,28.95,29.3,0.35,16.8,83.2,0.201,0.40,1.65,0.33,65.82,2.0,0.87,0.055,0.0,0.03,0.021,0.017,0.06,0.02,0.01,2.03,0.34,0.27,2.64,66.53,1.58,0.49,0.025,0.1,0.02,0.012,0.012,0.03,0.01,0.01,2.1,0.32,0.26,2.68,65.94,1.93,0.81,0.05,-,0.03,0.02,0.02,0.05,0.02,0.01,2.04,0.34,0.27,2.65
30139,CBS02,29.3,29.6,0.3,18.5,81.5,0.227,0.40,1.6,0.32,65.90,1.93,0.84,0.049,0.0,0.04,0.021,0.015,0.05,0.02,0.01,2.05,0.33,0.25,2.63,67.13,1.17,0.38,0.021,0.08,0.02,0.011,0.006,0.03,0.01,0.01,1.63,0.25,0.22,2.1,66.13,1.79,0.75,0.04,-,0.04,0.02,0.01,0.05,0.01,0.01,1.97,0.32,0.24,2.53
30140,CBS02,29.6,29.9,0.3,19.5,80.5,0.242,0.41,1.6,0.33,65.64,1.97,0.83,0.046,0.0,0.04,0.019,0.015,0.05,0.02,0.01,2.16,0.34,0.24,2.74,66.85,1.41,0.49,0.024,0.08,0.03,0.012,0.009,0.04,0.01,0.01,1.98,0.28,0.21,2.47,65.88,1.86,0.76,0.04,-,0.04,0.02,0.01,0.05,0.01,0.01,2.12,0.33,0.23,2.69
30141,CBS02,29.9,30.3,0.4,18.6,81.4,0.228,0.41,1.6,0.32,65.41,2.21,0.99,0.056,0.0,0.03,0.021,0.015,0.06,0.02,0.01,2.25,0.37,0.26,2.88,66.82,1.49,0.45,0.025,0.09,0.02,0.012,0.004,0.04,0.01,0.01,1.94,0.26,0.23,2.43,65.67,2.08,0.89,0.05,-,0.03,0.02,0.01,0.06,0.02,0.01,2.19,0.35,0.25,2.80
30142,CBS02,30.3,30.7,0.4,14.6,85.4,0.171,0.32,1.6,1.05,65.30,2.25,0.97,0.052,0.0,0.03,0.021,0.014,0.05,0.02,0.01,2.22,0.36,0.24,2.82,65.79,1.74,0.59,0.034,0.1,0.03,0.018,0.004,0.04,0.01,0.01,2.7,0.32,0.22,3.24,65.37,2.18,0.91,0.05,-,0.03,0.02,0.01,0.05,0.02,0.01,2.29,0.35,0.24,2.88
30143,CBS02,30.7,30.85,0.15,17.3,82.7,0.209,0.42,1.6,1.08,64.06,3.0,1.61,0.077,0.0,0.03,0.028,0.013,0.05,0.02,0.02,2.45,0.58,0.24,3.27,64.35,1.76,0.71,0.037,0.13,0.04,0.031,0.005,0.04,0.01,0.01,4.36,0.45,0.19,5.0,64.11,2.79,1.45,0.07,-,0.03,0.03,0.01,0.05,0.02,0.02,2.78,0.56,0.23,3.57
30144,CBS02,30.85,31.2,0.35,17.1,82.9,0.206,0.41,1.65,1.02,64.97,2.17,1.02,0.051,0.0,0.03,0.027,0.012,0.05,0.02,0.01,2.73,0.41,0.24,3.38,65.23,1.38,0.53,0.032,0.09,0.02,0.034,0.003,0.03,0.01,0.01,4.1,0.39,0.16,4.65,65.01,2.04,0.94,0.05,-,0.03,0.03,0.01,0.05,0.01,0.01,2.96,0.41,0.23,3.60
30145,CBS02,31.2,31.5,0.3,14.7,85.3,0.173,0.30,1.7,0.95,65.65,1.96,0.87,0.047,0.0,0.03,0.026,0.012,0.04,0.01,0.01,2.49,0.36,0.22,3.07,66.09,1.32,0.44,0.027,0.06,0.02,0.028,0.002,0.03,0.01,0.0,2.94,0.3,0.16,3.4,65.71,1.87,0.81,0.04,-,0.03,0.03,0.01,0.04,0.01,0.01,2.56,0.35,0.21,3.12
30146,CBS02,31.5,31.9,0.4,10.1,89.9,0.112,0.20,1.6,1.32,66.05,2.0,0.91,0.052,0.0,0.02,0.024,0.011,0.04,0.02,0.01,1.89,0.31,0.23,2.43,65.78,1.78,0.62,0.033,0.08,0.02,0.025,0.004,0.04,0.01,0.02,2.86,0.34,0.2,3.4,66.02,1.98,0.88,0.05,-,0.02,0.02,0.01,0.04,0.02,0.01,1.99,0.31,0.23,2.53
30147,CBS02,31.9,32.15,0.25,9.3,90.7,0.102,0.22,1.65,1.0,66.18,1.95,0.87,0.049,0.0,0.02,0.02,0.012,0.05,0.01,0.01,1.72,0.3,0.25,2.27,64.79,2.16,0.86,0.036,0.11,0.02,0.023,0.009,0.06,0.01,0.01,3.55,0.36,0.28,4.19,66.05,1.97,0.87,0.05,-,0.02,0.02,0.01,0.05,0.01,0.01,1.89,0.31,0.25,2.45
30148,CBS02,32.15,32.4,0.25,9.5,90.5,0.104,0.20,1.65,0.66,66.35,2.05,0.84,0.047,0.0,0.02,0.017,0.013,0.06,0.02,0.01,1.52,0.3,0.27,2.09,65.76,1.61,0.69,0.029,0.09,0.02,0.02,0.006,0.06,0.01,0.01,3.05,0.31,0.21,3.57,66.29,2.01,0.83,0.05,-,0.02,0.02,0.01,0.06,0.02,0.01,1.66,0.30,0.26,2.23
30149,CBS02,32.4,32.65,0.25,10.1,89.9,0.112,,1.6,0.62,65.14,2.06,1.0,0.057,0.0,0.02,0.021,0.015,0.06,0.01,0.02,2.71,0.39,0.27,3.37,64.65,1.81,0.93,0.04,0.15,0.03,0.019,0.009,0.05,0.01,0.02,3.55,0.38,0.29,4.22,65.09,2.03,0.99,0.06,-,0.02,0.02,0.01,0.06,0.01,0.02,2.79,0.39,0.27,3.46
30150,CBS02,32.65,32.95,0.3,12.7,87.3,0.145,0.32,1.6,1.08,62.99,3.37,1.45,0.072,0.0,0.03,0.033,0.018,0.09,0.02,0.01,3.7,0.53,0.29,4.52,62.89,2.23,0.99,0.041,0.19,0.02,0.033,0.011,0.07,0.01,0.01,5.64,0.53,0.27,6.43,62.98,3.23,1.39,0.07,-,0.03,0.03,0.02,0.09,0.02,0.01,3.95,0.53,0.29,4.76
30151,CBS02,32.95,33.3,0.35,16.1,83.9,0.192,0.41,1.65,0.93,61.93,2.79,1.28,0.056,0.0,0.03,0.04,0.017,0.08,0.01,0.01,5.76,0.6,0.23,6.59,62.46,1.95,0.75,0.024,0.19,0.02,0.035,0.008,0.06,0.01,0.0,6.66,0.55,0.18,7.39,62.02,2.65,1.19,0.05,-,0.03,0.04,0.02,0.08,0.01,0.01,5.91,0.59,0.22,6.72
30152,CBS02,33.3,33.8,0.5,22.1,77.9,0.284,0.52,1.65,0.89,63.36,2.22,1.06,0.048,0.0,0.02,0.029,0.015,0.06,0.01,0.01,5.05,0.5,0.22,5.77,64.32,1.45,0.69,0.021,0.1,0.02,0.021,0.009,0.04,0.01,0.01,4.9,0.44,0.17,5.51,63.57,2.05,0.98,0.04,-,0.02,0.03,0.01,0.06,0.01,0.01,5.02,0.49,0.21,5.71
30153,CBS02,33.8,34.1,0.3,20.2,79.8,0.253,0.51,1.6,0.63,64.00,2.22,1.04,0.047,0.0,0.03,0.023,0.014,0.05,0.01,0.01,4.38,0.46,0.21,5.05,64.89,1.36,0.63,0.018,0.08,-0.01,0.016,0.005,0.03,0.01,0.0,4.56,0.38,0.17,5.11,64.18,2.05,0.96,0.04,-,0.02,0.02,0.01,0.05,0.01,0.01,4.42,0.44,0.20,5.06
30154,CBS02,34.1,34.5,0.4,15.6,84.4,0.184,0.32,1.6,0.53,64.75,2.31,0.93,0.044,0.0,0.02,0.022,0.012,0.05,0.02,0.01,3.27,0.37,0.22,3.86,64.2,1.75,0.69,0.023,0.12,0.01,0.018,0.005,0.04,0.01,0.01,4.73,0.41,0.19,5.33,64.66,2.22,0.89,0.04,-,0.02,0.02,0.01,0.05,0.02,0.01,3.50,0.38,0.22,4.09
30155,CBS02,34.5,34.75,0.25,25.4,74.6,0.340,0.61,1.6,0.48,63.93,3.08,0.88,0.036,0.0,0.02,0.02,0.013,0.04,0.01,0.01,3.78,0.39,0.18,4.35,64.48,2.34,0.51,0.019,0.06,0.01,0.014,0.005,0.03,0.01,0.01,4.15,0.37,0.13,4.65,64.07,2.89,0.79,0.03,-,0.02,0.02,0.01,0.04,0.01,0.01,3.87,0.38,0.17,4.43
30156,CBS02,34.75,35.0,0.25,24.7,75.3,0.328,0.62,1.6,0.61,60.65,7.02,0.88,0.038,0.0,0.02,0.021,0.012,0.05,0.01,0.01,4.37,0.43,0.16,4.96,58.57,10.29,0.57,0.019,0.07,-0.01,0.015,0.005,0.03,0.01,0.01,4.55,0.38,0.09,5.02,60.14,7.83,0.80,0.03,-,0.01,0.02,0.01,0.05,0.01,0.01,4.41,0.42,0.14,4.97
30157,CBS02,35.0,35.35,0.35,21.3,78.7,0.271,0.52,1.6,,57.27,10.43,1.76,0.095,0.13,0.04,0.028,0.011,0.06,0.05,0.02,4.28,0.68,0.17,5.13,53.21,17.33,0.69,0.03,0.08,0.02,0.018,0.006,0.03,0.01,0.01,4.92,0.43,0.11,5.46,56.40,11.90,1.53,0.08,0.12,0.04,0.03,0.01,0.05,0.04,0.02,4.42,0.63,0.16,5.20
30158,CBS02,35.35,,0.0,20.9,79.1,0.264,0.56,1.6,,59.14,7.38,1.68,0.089,0.16,0.04,0.043,0.011,0.06,0.03,0.02,4.93,0.71,0.16,5.8,56.95,11.38,0.88,0.038,0.11,0.02,0.029,0.007,0.04,0.02,0.01,5.41,0.47,0.08,5.96,58.68,8.22,1.51,0.08,0.15,0.04,0.04,0.01,0.06,0.02,0.02,5.03,0.66,0.14,5.83
30159,CBS02,,35.8,0.0,16.7,83.3,0.201,0.41,1.65,,59.40,7.07,1.86,0.106,0.17,0.04,0.043,0.011,0.06,0.03,0.01,4.55,0.72,0.12,5.39,58.59,8.6,0.95,0.036,0.12,0.03,0.033,0.009,0.04,0.01,0.01,5.35,0.54,0.14,6.03,59.26,7.33,1.71,0.09,0.16,0.04,0.04,0.01,0.06,0.02,0.01,4.68,0.69,0.12,5.50
30160,CBS02,35.8,36.05,0.25,14.5,85.5,0.170,0.32,1.6,,55.20,8.57,4.22,0.193,0.29,0.05,0.058,0.016,0.1,0.03,0.03,5.45,1.43,0.22,7.1,59.1,7.62,1.21,0.054,0.15,0.02,0.04,0.009,0.05,0.01,0.01,5.6,0.53,0.17,6.3,55.77,8.43,3.78,0.17,0.27,0.05,0.06,0.01,0.09,0.03,0.03,5.47,1.30,0.21,6.98
30161,CBS02,36.05,36.45,0.4,12.2,87.8,0.140,,5.35,,58.17,6.41,2.53,0.109,0.25,0.04,0.064,0.013,0.09,0.02,0.02,6.06,0.94,0.07,7.07,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30162,CBS02,36.45,36.7,0.25,17.8,82.2,0.216,0.41,1.65,,56.96,9.82,2.1,0.094,0.18,0.03,0.056,0.011,0.06,0.02,0.02,4.97,0.79,0.16,5.92,58.19,8.04,1.06,0.042,0.17,0.02,0.057,0.009,0.06,0.01,0.02,6.39,0.56,0.18,7.13,57.18,9.50,1.92,0.08,0.18,0.03,0.06,0.01,0.06,0.02,0.02,5.22,0.75,0.16,6.14
30163,CBS02,36.7,36.85,0.15,17.3,82.7,0.209,0.41,1.66,,56.06,11.1,2.19,0.114,0.17,0.04,0.054,0.011,0.07,0.04,0.03,4.75,0.83,0.16,5.74,53.85,15.08,1.14,0.055,0.13,0.03,0.047,0.008,0.05,0.01,0.02,5.47,0.54,0.14,6.15,55.68,11.79,2.01,0.10,0.16,0.04,0.05,0.01,0.07,0.03,0.02,4.87,0.78,0.16,5.81
30173,CBS03,,,0.0,13.9,86.1,0.162,,,,,,,,,,,,,,,,,,,57.42,4.81,1.36,0.025,0.15,2.28,0.019,0.023,0.13,0.02,0.01,6.54,1.32,1.19,9.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30174,CBS03,,,0.0,21.0,79.0,0.266,,,,,,,,,,,,,,,,,,,61.55,2.35,0.83,0.015,0.13,0.81,0.016,0.019,0.07,0.01,0.01,6.44,0.87,0.41,7.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30175,CBS03,5.9,6.4,0.5,20.5,79.5,0.258,,,,54.87,6.29,1.76,0.05,0.14,3.0,0.028,0.034,0.16,0.03,0.03,6.74,1.3,1.74,9.78,59.11,3.66,0.88,0.023,0.12,2.34,0.021,0.019,0.09,0.01,0.01,6.05,1.07,1.27,8.39,55.74,5.75,1.58,0.04,0.14,2.86,0.03,0.03,0.15,0.03,0.03,6.60,1.25,1.64,9.50
30176,CBS03,6.4,6.9,0.5,22.2,77.8,0.286,,,,55.64,6.14,1.74,0.053,0.11,2.29,0.037,0.033,0.12,0.03,0.01,7.03,1.18,1.31,9.52,58.62,4.34,0.88,0.022,0.1,2.02,0.026,0.022,0.09,0.01,0.01,6.42,0.88,1.35,8.65,56.30,5.74,1.55,0.05,0.11,2.23,0.03,0.03,0.11,0.02,0.01,6.89,1.11,1.32,9.33
30177,CBS03,6.9,7.3,0.4,24.3,75.7,0.320,6.01,19.5,,59.40,4.68,1.65,0.056,0.15,0.59,0.04,0.026,0.11,0.03,0.03,6.16,0.9,0.3,7.36,63.62,1.86,0.66,0.02,0.1,0.23,0.028,0.012,0.06,0.01,0.01,5.16,0.56,0.13,5.85,60.42,4.00,1.41,0.05,0.14,0.50,0.04,0.02,0.10,0.03,0.02,5.92,0.82,0.26,6.99
30178,CBS03,7.3,8.0,0.7,24.6,75.4,0.326,6.10,15.95,,58.99,4.41,1.43,0.05,0.21,1.32,0.038,0.024,0.11,0.02,0.02,6.01,0.94,0.74,7.69,63.18,2.15,0.67,0.021,0.14,0.45,0.025,0.014,0.06,0.01,0.0,5.33,0.68,0.2,6.21,60.02,3.85,1.24,0.04,0.19,1.11,0.03,0.02,0.10,0.02,0.01,5.84,0.88,0.61,7.33
30179,CBS03,8.0,8.4,0.4,22.1,77.9,0.284,,15.9,,58.98,4.3,1.36,0.05,0.18,1.66,0.036,0.024,0.11,0.02,0.02,5.83,0.9,1.0,7.73,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30180,CBS03,8.4,9.0,0.6,20.3,79.7,0.254,4.72,19.57,1.23,59.43,4.05,1.35,0.049,0.0,1.49,0.04,0.06,0.11,0.02,0.01,5.61,0.81,0.95,7.37,63.57,2.58,0.61,0.019,0.14,0.46,0.028,0.014,0.05,0.01,0.01,4.43,0.59,0.22,5.24,60.27,3.75,1.20,0.04,-,1.28,0.04,0.05,0.10,0.02,0.01,5.37,0.77,0.80,6.94
30181,CBS03,9.0,9.6,0.6,18.8,81.2,0.231,4.33,19.67,0.72,59.51,3.89,1.43,0.051,0.0,1.37,0.042,0.078,0.12,0.02,0.02,5.78,0.91,0.69,7.38,63.31,2.11,0.65,0.018,0.15,0.73,0.027,0.014,0.05,0.01,0.0,4.61,0.65,0.35,5.61,60.22,3.56,1.28,0.04,-,1.25,0.04,0.07,0.11,0.02,0.02,5.56,0.86,0.63,7.05
30182,CBS03,9.6,10.1,0.5,18.7,81.3,0.230,4.37,15.81,0.91,58.70,4.24,1.54,0.06,0.0,1.88,0.045,0.137,0.13,0.03,0.02,5.72,0.95,1.0,7.67,63.13,1.98,0.62,0.018,0.15,0.77,0.032,0.023,0.05,0.01,0.02,5.14,0.67,0.44,6.25,59.53,3.82,1.37,0.05,-,1.67,0.04,0.12,0.12,0.02,0.02,5.61,0.90,0.90,7.40
30183,CBS03,10.1,10.5,0.4,20.2,79.8,0.253,4.75,19.58,0.84,59.70,4.08,1.52,0.058,0.0,1.32,0.046,0.096,0.12,0.02,0.02,5.48,0.93,0.62,7.03,63.35,1.92,0.66,0.017,0.11,0.68,0.03,0.016,0.05,0.01,0.01,4.62,0.7,0.33,5.65,60.44,3.64,1.35,0.05,-,1.19,0.04,0.08,0.11,0.02,0.02,5.31,0.88,0.56,6.75
30184,CBS03,10.5,10.85,0.35,0.0,-,-,,15.9,0.98,59.07,4.86,1.73,0.085,0.0,1.01,0.05,0.066,0.15,0.03,0.03,5.58,0.93,0.49,7.0,62.99,2.41,0.89,0.028,0.11,0.47,0.035,0.015,0.06,0.02,0.02,4.86,0.65,0.3,5.81,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
30185,CBS03,10.85,11.4,0.55,0.0,-,-,3.75,19.53,1.36,62.54,2.85,1.23,0.049,0.0,0.22,0.053,0.031,0.11,0.02,0.03,4.76,0.59,0.17,5.52,65.39,1.37,0.54,0.019,0.07,0.17,0.037,0.01,0.06,0.01,0.02,3.73,0.46,0.12,4.31,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
30186,CBS03,11.4,11.9,0.5,12.1,87.9,0.138,2.62,19.61,1.47,61.98,3.14,1.41,0.058,0.0,0.16,0.052,0.032,0.13,0.02,0.04,5.14,0.6,0.16,5.9,64.69,1.46,0.65,0.02,0.08,0.06,0.037,0.009,0.06,0.01,0.02,4.28,0.42,0.1,4.8,62.31,2.94,1.32,0.05,-,0.15,0.05,0.03,0.12,0.02,0.03,5.04,0.58,0.15,5.77
30187,CBS03,11.9,12.5,0.6,10.4,89.6,0.116,,15.85,1.34,62.56,2.75,1.23,0.048,0.0,0.28,0.052,0.026,0.1,0.02,0.03,4.97,0.65,0.13,5.75,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30188,CBS03,12.5,13.0,0.5,13.2,86.8,0.152,18.60,0.0,3.66,57.07,5.71,2.22,0.086,0.0,0.3,0.056,0.042,0.26,0.02,0.06,7.74,0.86,0.22,8.82,57.46,6.89,1.07,0.025,0.34,0.44,0.039,0.017,0.13,0.01,0.02,7.58,0.83,0.18,8.58,57.12,5.87,2.07,0.08,-,0.32,0.05,0.04,0.24,0.02,0.05,7.72,0.86,0.21,8.79
30189,CBS03,13.0,13.55,0.55,23.2,76.8,0.302,5.65,15.85,2.29,60.35,3.05,1.31,0.042,0.0,0.1,0.043,0.031,0.16,0.02,0.04,7.46,0.71,0.22,8.38,63.08,1.81,0.64,0.016,0.13,0.02,0.028,0.013,0.06,0.01,0.02,6.46,0.54,0.1,7.1,60.98,2.76,1.15,0.04,-,0.08,0.04,0.03,0.13,0.01,0.03,7.23,0.67,0.19,8.08
30190,CBS03,13.55,13.9,0.35,21.4,78.6,0.273,5.15,19.6,0.95,61.13,3.07,1.16,0.041,0.19,0.06,0.046,0.027,0.11,0.02,0.04,6.73,0.65,0.19,7.57,61.44,4.49,0.62,0.017,0.12,0.06,0.033,0.013,0.06,0.01,0.02,6.12,0.57,0.09,6.78,61.20,3.37,1.04,0.04,0.17,0.06,0.04,0.02,0.10,0.01,0.03,6.60,0.63,0.17,7.40
30191,CBS03,13.9,14.3,0.4,16.0,84.0,0.191,3.51,19.58,0.84,61.83,2.86,1.01,0.034,0.17,0.05,0.045,0.025,0.11,0.01,0.03,6.24,0.6,0.2,7.04,62.55,3.81,0.47,0.014,0.09,0.04,0.031,0.011,0.06,0.01,0.02,5.31,0.52,0.12,5.95,61.94,3.01,0.92,0.03,0.16,0.05,0.04,0.02,0.10,0.01,0.03,6.09,0.58,0.19,6.86
30192,CBS03,14.3,14.95,0.65,16.8,83.2,0.203,,,,59.44,3.37,1.55,0.051,0.49,0.07,0.054,0.033,0.18,0.02,0.07,7.96,0.69,0.25,8.9,62.03,2.04,0.81,0.017,0.21,0.03,0.041,0.015,0.08,0.01,0.02,7.07,0.61,0.12,7.8,59.88,3.15,1.43,0.05,0.44,0.06,0.05,0.03,0.16,0.01,0.06,7.81,0.68,0.23,8.71
30193,CBS03,14.95,15.5,0.55,13.0,87.0,0.150,,,,55.13,5.8,3.51,0.149,0.68,0.13,0.069,0.043,0.26,0.03,0.07,8.53,1.1,0.36,9.99,60.88,2.69,1.29,0.035,0.31,0.06,0.047,0.018,0.11,0.01,0.03,7.44,0.69,0.15,8.28,55.88,5.40,3.22,0.13,0.63,0.12,0.07,0.04,0.24,0.03,0.06,8.39,1.05,0.33,9.77
30194,CBS03,15.5,16.0,0.5,10.0,90.0,0.111,,,,54.78,5.75,3.21,0.126,0.9,0.1,0.066,0.046,0.29,0.03,0.08,9.16,1.02,0.34,10.52,63.09,1.84,0.79,0.022,0.22,0.11,0.04,0.012,0.07,0.01,0.02,6.06,0.59,0.13,6.78,55.61,5.36,2.97,0.12,0.83,0.10,0.06,0.04,0.27,0.03,0.08,8.85,0.98,0.32,10.15
30195,CBS03,16.0,16.5,0.5,16.3,83.7,0.195,,,,59.63,3.47,1.72,0.072,0.3,0.07,0.059,0.031,0.14,0.02,0.05,7.79,0.73,0.25,8.77,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30196,CBS03,16.5,17.1,0.6,17.9,82.1,0.218,,,,60.27,2.74,1.52,0.059,0.24,0.07,0.06,0.028,0.11,0.01,0.05,7.55,0.69,0.23,8.47,63.76,1.25,0.56,0.016,0.1,0.02,0.037,0.01,0.04,0.0,0.02,6.33,0.5,0.18,7.01,60.89,2.47,1.35,0.05,0.21,0.06,0.06,0.02,0.10,0.01,0.04,7.33,0.66,0.22,8.21
30197,CBS03,17.1,17.6,0.5,13.4,86.6,0.155,,,,60.28,3.19,1.58,0.065,0.24,0.12,0.066,0.029,0.12,0.01,0.05,7.41,0.71,0.22,8.34,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
